reading input binary hello_world
applying inner encryption
encrypting function _start with key 94714fee435d86714f54adddb6d2f570
aes key_len : 16
before enc, len : 38
actual encrypt len : 32
encrypting function main with key 059fe7bc44875fb66ebcd3b71e3812b7
aes key_len : 16
before enc, len : 30
actual encrypt len : 16
injected runtime info into loader (old size: 43448 new size: 43556)
applying outer encryption with key c1251a7894dab1bcb04b4936d6a15030
aes key_len : 16
before enc, len : 17024
actual encrypt len : 17024
obfuscated_key 90251a7894dab1bcb04b4936d6a15030
00000000 | 76 22 39 0f ce 2f ac 13 fe 68 1d 79 28 d6 e8 66 | v"9../...h.y(..f
00000010 | 66 ce c4 d9 3a f5 22 84 fc 57 72 73 aa 88 0f 38 | f...:."..Wrs...8
00000020 | 60 42 23 5c f8 49 4a fb 9a 5c 8d 16 97 a6 c2 ad | `B#\.IJ..\......
00000030 | 15 2d c4 63 6e b5 74 d5 4d d8 2d ca a6 0d dc 6b | .-.cn.t.M.-....k
00000040 | 51 90 16 66 52 ab 9c 99 eb e0 80 65 91 57 34 82 | Q..fR......e.W4.
00000050 | 04 19 d9 14 53 f8 bd 8c 88 56 71 c1 db 29 d0 19 | ....S....Vq..)..
00000060 | 96 59 5b f2 55 01 04 0c 74 76 17 79 cc 52 41 78 | .Y[.U...tv.y.RAx
00000070 | 83 ec c4 4d 10 e7 bd 8f c8 18 e4 ed 75 42 a0 1b | ...M........uB..
00000080 | cd 63 01 21 ed a7 d3 80 0d a4 d6 5e c8 37 f9 17 | .c.!.......^.7..
00000090 | 16 e8 4c de de a3 87 a4 96 d3 f7 0d a5 15 fa 5d | ..L............]
000000a0 | c8 69 64 e3 2b 3e 07 00 6f 82 e0 44 d1 2b 9c 0c | .id.+>..o..D.+..
000000b0 | 80 26 48 8e 37 b2 fa 70 50 c1 5b 69 d6 9b 8c db | .&H.7..pP.[i....
000000c0 | 1f d8 31 d6 f8 40 65 24 43 90 03 0c aa 40 d4 b1 | ..1..@e$C....@..
000000d0 | 8f bb a5 8a db 55 69 57 9b 84 a3 8d 67 94 ff 8d | .....UiW....g...
000000e0 | d8 12 93 74 d0 4d f4 3b ce 27 5a 8b 98 91 30 80 | ...t.M.;.'Z...0.
000000f0 | d8 77 50 fe bc 57 63 e5 f1 67 84 5c 74 62 65 33 | .wP..Wc..g.\tbe3
00000100 | 8e 18 60 4f e7 3e 23 09 2f 90 a5 b9 9c 04 bb c8 | ..`O.>#./.......
00000110 | 4e bf be d0 cc 70 4c 33 8f 4f f9 c9 b9 3b ac 66 | N....pL3.O...;.f
00000120 | 12 11 12 c6 c9 19 1e 26 53 32 5b 30 54 84 8f a7 | .......&S2[0T...
00000130 | 68 2d 6e 0c 35 66 18 56 cd d9 a8 14 88 07 74 03 | h-n.5f.V......t.
00000140 | 88 51 c1 1e 76 cc bd ba 41 88 dd af c5 f0 4c de | .Q..v...A.....L.
00000150 | d9 8c 37 0a 5f 4f e9 79 e5 c3 d3 95 d5 53 fe b7 | ..7._O.y.....S..
00000160 | 86 ae 2b ed 91 2b 29 5f 66 f3 bb cf c2 6e 0e f8 | ..+..+)_f....n..
00000170 | a7 6d 3d f0 6d ba ee e5 a9 3d 1f 7c 98 54 5d ea | .m=.m....=.|.T].
00000180 | 21 30 93 42 e1 c7 c5 06 f0 f6 d2 a1 d1 78 8f 22 | !0.B.........x."
00000190 | a7 19 f8 85 b7 9c 8c 95 2b 3d 73 24 32 50 77 b9 | ........+=s$2Pw.
000001a0 | f1 4c c4 ab 36 08 02 87 a2 ae da 9e 84 5c b0 6c | .L..6........\.l
000001b0 | 50 36 a3 f5 29 c4 72 a4 8e bf c7 b2 1d b6 e6 20 | P6..).r........ 
000001c0 | d4 a6 44 96 16 58 5b bf e6 a9 5e b5 fd 6e 7f 38 | ..D..X[...^..n8
000001d0 | 58 55 b1 05 7b 97 31 dc 83 63 cf 71 f7 e5 11 cd | XU..{.1..c.q....
000001e0 | cf 6b 6a f4 50 ce 66 49 7a 46 bb e3 ca 1c cb 48 | .kj.P.fIzF.....H
000001f0 | 96 1f 3a 0f 70 d5 30 35 67 b0 3a 05 a7 85 5d 18 | ..:.p.05g.:...].
00000200 | 15 d4 87 dd 23 6f a4 c6 5b 1f e7 20 f7 cf 21 e7 | ....#o..[.. ..!.
00000210 | 6f db 2d a9 df b2 12 08 c8 89 c7 1d 30 6f c8 fb | o.-.........0o..
00000220 | 5e e2 32 f7 3f 3c e6 3f db 3b 00 8d bd 73 7c ee | ^.2.?<.?.;...s|.
00000230 | 88 4e 77 c9 80 ab 7a fa 12 f9 18 e4 81 4c c8 ec | .Nw...z......L..
00000240 | 58 55 b1 05 7b 97 31 dc 83 63 cf 71 f7 e5 11 cd | XU..{.1..c.q....
